module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00526	cora_Cyanobacteriota	cora_Cyanobacteriota	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00133,K00215,K00928,K01586	6660,553,1989,7559	K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527
M00527	cora_Cyanobacteriota	cora_Cyanobacteriota	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)"	0.8571428571428571	True	0.8571428571428571	True	1.0	K10206	1	K00133,K00215,K00928,K01586,K01778,K01778,K10206	6660,553,1989,7559,4458,4459,6846	K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K01778 is present in multiple modules: M00016/M00525/M00527,K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527
M00030	cora_Cyanobacteriota	cora_Cyanobacteriota	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"K01655 K17450 K01705 K05824 K00838 K00143 (K00293,K24034) K00290"	0.125	False	0.125	False	1.0	K00290	1	K00290	6838	None
M00956	cora_Cyanobacteriota	cora_Cyanobacteriota	Lysine degradation, bacteria, L-lysine => succinate	Pathway modules	Amino acid metabolism	Lysine metabolism	"K01582 K09251 K00137 K07250 K00135 K15737 K15736"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K15736	9578	K15736 is present in multiple modules: M00956/M00957
M00957	cora_Cyanobacteriota	cora_Cyanobacteriota	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	Pathway modules	Amino acid metabolism	Lysine metabolism	"K00468 K01506 (K14268,K07250) K00135 ((K15737 K15736),(K01041 K00252 (K01692,K01825,K01782) (K01825,K01782) K00626))"	0.0	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K15736	9578	K15736 is present in multiple modules: M00956/M00957
M00028	cora_Cyanobacteriota	cora_Cyanobacteriota	Ornithine biosynthesis, glutamate => ornithine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"(K00618,K00619,K14681,K14682,K00620,K22477,K22478) ((K00930,K22478) K00145,K12659) (K00818,K00821) (K01438,K14677,K00620)"	0.75	True	0.8	True	1.0	K00620,K00930	2,1	K00145,K00145,K00620,K00620,K00930	7351,3128,1421,1420,12522	K00145 is present in multiple modules: M00028/M00845
M00844	cora_Cyanobacteriota	cora_Cyanobacteriota	Arginine biosynthesis, ornithine => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00611 K01940 (K01755,K14681)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K01940,K01940	11754,11756	K01940 is present in multiple modules: M00844/M00845/M00029
M00845	cora_Cyanobacteriota	cora_Cyanobacteriota	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K22478 K00145 K00821 K09065 K01438 K01940 K01755"	0.2857142857142857	False	0.2857142857142857	False	NA	No enzymes unique to module	NA	K00145,K00145,K01940,K01940	7351,3128,11754,11756	K00145 is present in multiple modules: M00028/M00845,K01940 is present in multiple modules: M00844/M00845/M00029
M00029	cora_Cyanobacteriota	cora_Cyanobacteriota	Urea cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01948 K00611 K01940 (K01755,K14681) K01476"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01940,K01940	11754,11756	K01940 is present in multiple modules: M00844/M00845/M00029
M00015	cora_Cyanobacteriota	cora_Cyanobacteriota	Proline biosynthesis, glutamate => proline	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"((K00931 K00147),K12657) K00286"	0.5	False	0.6666666666666666	False	1.0	K00931	1	K00286,K00931	7594,6306	K00286 is present in multiple modules: M00015/M00972
M00972	cora_Cyanobacteriota	cora_Cyanobacteriota	Proline metabolism	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00819 K00286 K00318"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00286	7594	K00286 is present in multiple modules: M00015/M00972
M00133	cora_Cyanobacteriota	cora_Cyanobacteriota	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"(K01583,K01584,K01585,K02626) K01480 K01611 K00797"	0.25	False	0.25	False	1.0	K01585	1	K01585	12509	None
M00135	cora_Cyanobacteriota	cora_Cyanobacteriota	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"K00657 K00274 (K00128,K14085,K00149) --"	0.25	False	0.25	False	1.0	K00657	2	K00657,K00657	2834,6570	'--' steps are assumed incomplete
M00026	cora_Cyanobacteriota	cora_Cyanobacteriota	Histidine biosynthesis, PRPP => histidine	Pathway modules	Amino acid metabolism	Histidine metabolism	"(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)"	0.16666666666666666	False	0.375	False	1.0	K00765,K00817,K01523	2,1,1	K00765,K00765,K00817,K01523	8151,8150,12492,587	None
M00022	cora_Cyanobacteriota	cora_Cyanobacteriota	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736"	0.75	True	0.8	True	1.0	K00800,K00891,K01736,K03786,K03856	2,1,2,1,1	K00800,K00800,K00891,K01736,K01736,K03786,K03856	7268,7267,12523,5537,5535,5722,13443	None
M00023	cora_Cyanobacteriota	cora_Cyanobacteriota	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)"	0.6666666666666666	False	0.9	True	1.0	K00766,K01609,K01658,K01695,K01817,K13503	1,1,1,2,1,1	K00766,K01609,K01658,K01695,K01695,K01817,K13503	13444,10851,9728,13449,13450,1145,13454	None
M00024	cora_Cyanobacteriota	cora_Cyanobacteriota	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K06208	6809	K06208 is present in multiple modules: M00024/M00025
M00025	cora_Cyanobacteriota	cora_Cyanobacteriota	Tyrosine biosynthesis, chorismate => HPP => tyrosine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K06208	6809	K06208 is present in multiple modules: M00024/M00025
M00936	cora_Cyanobacteriota	cora_Cyanobacteriota	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"K01593 K24541 K22450 (K22588,K13066)"	0.25	False	0.25	False	1.0	K22450	1	K22450	1012	None
M00038	cora_Cyanobacteriota	cora_Cyanobacteriota	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K03392 (K10217,K23234)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01432	14351	K01432 is present in multiple modules: M00038/M00912
M00118	cora_Cyanobacteriota	cora_Cyanobacteriota	Glutathione biosynthesis, glutamate => glutathione	Pathway modules	Amino acid metabolism	Other amino acid metabolism	"(K11204+K11205,K01919) (K21456,K01920)"	0.5	False	0.5	False	1.0	K01920	1	K01920	5613	None
M00872	cora_Cyanobacteriota	cora_Cyanobacteriota	O-glycan biosynthesis, mannose type (core M3)	Pathway modules	Glycan metabolism	Glycan biosynthesis	"K00728 K18207 K09654 K17547  K21031 K19872 K19873 K21052 K21032 K09668"	0.1	False	0.1	False	1.0	K00728	2	K00728,K00728	11795,11797	None
M00060	cora_Cyanobacteriota	cora_Cyanobacteriota	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	"K00677 K02535 K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K02560"	0.4444444444444444	False	0.4444444444444444	False	NA	No enzymes unique to module	NA	K00677,K00748,K00748,K02535,K02536	4201,4199,4200,4204,325	K00677 is present in multiple modules: M00060/M00866,K00748 is present in multiple modules: M00060/M00866,K02536 is present in multiple modules: M00060/M00866,K02535 is present in multiple modules: M00060/M00866
M00866	cora_Cyanobacteriota	cora_Cyanobacteriota	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	"K00677 (K02535,K16363) K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K09778"	0.4444444444444444	False	0.4444444444444444	False	NA	No enzymes unique to module	NA	K00677,K00748,K00748,K02535,K02536	4201,4199,4200,4204,325	K00677 is present in multiple modules: M00060/M00866,K00748 is present in multiple modules: M00060/M00866,K02536 is present in multiple modules: M00060/M00866,K02535 is present in multiple modules: M00060/M00866
M00127	cora_Cyanobacteriota	cora_Cyanobacteriota	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946"	0.42857142857142855	False	0.5625	False	NA	No enzymes unique to module	NA	K00941,K00946,K03147,K03149,K03154	11511,12058,11549,12960,12271	K03149 is present in multiple modules: M00127/M00895,K00946 is present in multiple modules: M00127/M00895/M00896,K03154 is present in multiple modules: M00127/M00895,K00941 is present in multiple modules: M00127/M00895/M00896/M00899,K03147 is present in multiple modules: M00127/M00895/M00896/M00897
M00895	cora_Cyanobacteriota	cora_Cyanobacteriota	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03148+K03154 K03151 K03153 K03149 K10810 K03147 K00941 K00788 K00946"	0.5555555555555556	False	0.6111111111111112	False	1.0	K03153	1	K00941,K00946,K03147,K03149,K03153,K03154	11511,12058,11549,12960,12962,12271	K03149 is present in multiple modules: M00127/M00895,K00946 is present in multiple modules: M00127/M00895/M00896,K03154 is present in multiple modules: M00127/M00895,K00941 is present in multiple modules: M00127/M00895/M00896/M00899,K03147 is present in multiple modules: M00127/M00895/M00896/M00897
M00896	cora_Cyanobacteriota	cora_Cyanobacteriota	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K22699 K03147 (K00941 (K00788,K21220),K21219) K00946"	0.5	False	0.6	False	NA	No enzymes unique to module	NA	K00941,K00946,K03147	11511,12058,11549	K00941 is present in multiple modules: M00127/M00895/M00896/M00899,K00946 is present in multiple modules: M00127/M00895/M00896,K03147 is present in multiple modules: M00127/M00895/M00896/M00897
M00897	cora_Cyanobacteriota	cora_Cyanobacteriota	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03146 K03147 K14153 K22911 K00949"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K03147	11549	K03147 is present in multiple modules: M00127/M00895/M00896/M00897
M00899	cora_Cyanobacteriota	cora_Cyanobacteriota	Thiamine salvage pathway, HMP/HET => TMP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00878 ((K00941 K00788),K14153,K21219)"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00941	11511	K00941 is present in multiple modules: M00127/M00895/M00896/M00899
M00125	cora_Cyanobacteriota	cora_Cyanobacteriota	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753)"	0.5714285714285714	False	0.5714285714285714	False	1.0	K11752,K11753	1,1	K00793,K00794,K00794,K11752,K11753	8798,10487,10486,12062,7199	K00794 is present in multiple modules: M00125/M00911,K00793 is present in multiple modules: M00125/M00911
M00911	cora_Cyanobacteriota	cora_Cyanobacteriota	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01497 K14654 K14655 -- K02858 K00794 K00793 K00861 K00953"	0.2222222222222222	False	0.2222222222222222	False	NA	No enzymes unique to module	NA	K00793,K00794,K00794	8798,10487,10486	K00794 is present in multiple modules: M00125/M00911,K00793 is present in multiple modules: M00125/M00911,'--' steps are assumed incomplete
M00124	cora_Cyanobacteriota	cora_Cyanobacteriota	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03472 K03473 K00831 K00097 K03474 K00275"	0.3333333333333333	False	0.3333333333333333	False	1.0	K00275,K03474	1,1	K00275,K03474	12518,2662	None
M00115	cora_Cyanobacteriota	cora_Cyanobacteriota	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K00278,K06989) K03517 K00767 (K00969,K06210) (K01916,K01950)"	0.6	False	0.6	False	1.0	K03517	2	K00767,K00969,K03517,K03517	6688,12054,6680,6681	K00767 is present in multiple modules: M00115/M00912,K00969 is present in multiple modules: M00115/M00912
M00912	cora_Cyanobacteriota	cora_Cyanobacteriota	NAD biosynthesis, tryptophan => quinolinate => NAD	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)"	0.375	False	0.375	False	NA	No enzymes unique to module	NA	K00767,K00969,K01432	6688,12054,14351	K00767 is present in multiple modules: M00115/M00912,K00969 is present in multiple modules: M00115/M00912,K01432 is present in multiple modules: M00038/M00912
M00119	cora_Cyanobacteriota	cora_Cyanobacteriota	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00826 K00606 K00077 K01579 (K01918,K13799)"	0.8	True	0.8	True	1.0	K01579	2	K00077,K00606,K01579,K01579,K01918,K01918	4638,4031,10097,13175,686,684	K01918 is present in multiple modules: M00119/M00913,K00077 is present in multiple modules: M00119/M00913/M00914,K00606 is present in multiple modules: M00119/M00913/M00914
M00913	cora_Cyanobacteriota	cora_Cyanobacteriota	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00606 K00077 K13367 K00128 K01918"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00077,K00606,K01918,K01918	4638,4031,686,684	K01918 is present in multiple modules: M00119/M00913,K00077 is present in multiple modules: M00119/M00913/M00914,K00606 is present in multiple modules: M00119/M00913/M00914
M00120	cora_Cyanobacteriota	cora_Cyanobacteriota	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K00867,K03525,K01947,K09680) ((K01922,K21977) K01598,K13038) (K02318,(K00954,K02201) K00859)"	1.0	True	1.0	True	1.0	K00859,K00954,K03525	1,1,1	K00859,K00954,K03525,K13038	9308,7139,10423,3126	K13038 is present in multiple modules: M00120/M00914
M00914	cora_Cyanobacteriota	cora_Cyanobacteriota	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00606 K00077 K06982 K09722 K13038 K02201 K09735"	0.42857142857142855	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K00077,K00606,K13038	4638,4031,3126	K00077 is present in multiple modules: M00119/M00913/M00914,K00606 is present in multiple modules: M00119/M00913/M00914,K13038 is present in multiple modules: M00120/M00914
M00572	cora_Cyanobacteriota	cora_Cyanobacteriota	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K02169 (K00647,K09458) K00059 K02372 K00208 (K02170,K09789,K19560,K19561)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00059,K00059,K00059,K00059,K00059,K02372	3454,2422,937,378,13541,4203	K02372 is present in multiple modules: M00083/M00572,K00059 is present in multiple modules: M00083/M00874/M00572
M00123	cora_Cyanobacteriota	cora_Cyanobacteriota	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00652 ((K00833,K19563) K01935,K19562) K01012"	0.6666666666666666	False	0.75	True	NA	No enzymes unique to module	NA	K00652,K01012,K01935	1854,9819,4279	K01935 is present in multiple modules: M00123/M00950/M00573/M00577,K01012 is present in multiple modules: M00123/M00950/M00573/M00577,K00652 is present in multiple modules: M00123/M00950/M00573/M00577
M00950	cora_Cyanobacteriota	cora_Cyanobacteriota	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00652 K25570 K01935 K01012"	0.75	True	0.75	True	NA	No enzymes unique to module	NA	K00652,K01012,K01935	1854,9819,4279	K01935 is present in multiple modules: M00123/M00950/M00573/M00577,K01012 is present in multiple modules: M00123/M00950/M00573/M00577,K00652 is present in multiple modules: M00123/M00950/M00573/M00577
M00573	cora_Cyanobacteriota	cora_Cyanobacteriota	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K16593 K00652 K19563 K01935 K01012"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00652,K01012,K01935	1854,9819,4279	K01935 is present in multiple modules: M00123/M00950/M00573/M00577,K01012 is present in multiple modules: M00123/M00950/M00573/M00577,K00652 is present in multiple modules: M00123/M00950/M00573/M00577
M00577	cora_Cyanobacteriota	cora_Cyanobacteriota	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01906 K00652 (K00833,K19563) K01935 K01012"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00652,K01012,K01935	1854,9819,4279	K01935 is present in multiple modules: M00123/M00950/M00573/M00577,K01012 is present in multiple modules: M00123/M00950/M00573/M00577,K00652 is present in multiple modules: M00123/M00950/M00573/M00577
M00881	cora_Cyanobacteriota	cora_Cyanobacteriota	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03801 K03644"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K03644,K03644,K03644	8945,8187,8946	K03644 is present in multiple modules: M00881/M00882/M00883/M00884
M00882	cora_Cyanobacteriota	cora_Cyanobacteriota	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K23735 K03644"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K03644,K03644,K03644	8945,8187,8946	K03644 is present in multiple modules: M00881/M00882/M00883/M00884
M00883	cora_Cyanobacteriota	cora_Cyanobacteriota	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K23735,K23734) K03644 (K10105,K16869)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K03644,K03644,K03644	8945,8187,8946	K03644 is present in multiple modules: M00881/M00882/M00883/M00884
M00884	cora_Cyanobacteriota	cora_Cyanobacteriota	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K23750 K03644"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K03644,K03644,K03644	8945,8187,8946	K03644 is present in multiple modules: M00881/M00882/M00883/M00884
M00126	cora_Cyanobacteriota	cora_Cyanobacteriota	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)"	0.8	True	0.8571428571428571	True	1.0	K00796,K00950,K01113	1,2,2	K00796,K00950,K00950,K01113,K01113,K01495,K01633,K11754	867,14492,14008,8728,8729,12260,5307,5598	K01495 is present in multiple modules: M00126/M00841/M00842/M00843,K01633 is present in multiple modules: M00126/M00840,K11754 is present in multiple modules: M00126/M00841
M00840	cora_Cyanobacteriota	cora_Cyanobacteriota	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K14652 K22100 -- K01633 K13941 K22099 K00287"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01633	5307	K01633 is present in multiple modules: M00126/M00840,'--' steps are assumed incomplete
M00841	cora_Cyanobacteriota	cora_Cyanobacteriota	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K22101 K13941 K11754 K13998"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K01495,K11754	12260,5598	K01495 is present in multiple modules: M00126/M00841/M00842/M00843,K11754 is present in multiple modules: M00126/M00841
M00842	cora_Cyanobacteriota	cora_Cyanobacteriota	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K01737 K00072"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K01495,K01737,K01737	12260,9864,9863	K01495 is present in multiple modules: M00126/M00841/M00842/M00843,K01737 is present in multiple modules: M00842/M00843
M00843	cora_Cyanobacteriota	cora_Cyanobacteriota	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K01495 K01737 K17745"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K01495,K01737,K01737	12260,9864,9863	K01495 is present in multiple modules: M00126/M00841/M00842/M00843,K01737 is present in multiple modules: M00842/M00843
M00880	cora_Cyanobacteriota	cora_Cyanobacteriota	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376)"	0.3333333333333333	False	0.6	False	1.0	K03635,K03637,K03750	2,2,1	K03635,K03635,K03637,K03637,K03750	11427,11426,10578,10577,6115	None
M00140	cora_Cyanobacteriota	cora_Cyanobacteriota	C1-unit interconversion, prokaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00600 (K01491,(K00300 K01500)) K01938"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00600,K00600,K00600,K01491	4561,4560,4562,2672	K00600 is present in multiple modules: M00532/M00346/M00140/M00141,K01491 is present in multiple modules: M00377/M00140/M00618
M00141	cora_Cyanobacteriota	cora_Cyanobacteriota	C1-unit interconversion, eukaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00600 (K00288,(K13403 K13402))"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00600,K00600,K00600	4561,4560,4562	K00600 is present in multiple modules: M00532/M00346/M00140/M00141
M00846	cora_Cyanobacteriota	cora_Cyanobacteriota	Siroheme biosynthesis, glutamyl-tRNA => siroheme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K02492 K01845 K01698 K01749 (K01719,K13542,K13543) (K02302,(K00589,K02303,K02496,K13542,K13543)+(K02304,(K24866+K03794)))"	0.8333333333333334	True	0.8333333333333334	True	NA	No enzymes unique to module	NA	K01698,K01698,K01719,K01749,K01749,K01845,K01845,K01845,K02492,K02492	998,997,9307,5494,5496,13624,583,13608,5980,5981	K01698 is present in multiple modules: M00846/M00868/M00121/M00926,K02492 is present in multiple modules: M00846/M00121/M00926,K01845 is present in multiple modules: M00846/M00121/M00926,K01719 is present in multiple modules: M00846/M00868/M00121/M00926,K01749 is present in multiple modules: M00846/M00868/M00121/M00926
M00868	cora_Cyanobacteriota	cora_Cyanobacteriota	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K00643 K01698 K01749 K01719 K01599 K00228 K00231 K01772"	0.75	True	0.75	True	NA	No enzymes unique to module	NA	K00228,K00228,K01599,K01599,K01698,K01698,K01719,K01749,K01749,K01772	11894,11895,6290,6289,998,997,9307,5494,5496,1969	K00228 is present in multiple modules: M00868/M00121,K01698 is present in multiple modules: M00846/M00868/M00121/M00926,K01599 is present in multiple modules: M00868/M00121/M00926,K01772 is present in multiple modules: M00868/M00121/M00926,K01719 is present in multiple modules: M00846/M00868/M00121/M00926,K01749 is present in multiple modules: M00846/M00868/M00121/M00926
